summary_id,period_id,geo_id,market_def_id,total_market_value_usd,total_market_volume_std
90000,202201,1,900,724447.692,78373.512
90001,202201,1,901,663789.7559999999,167975.64
90002,202201,1,902,878254.404,39793.056000000004
90003,202201,1,903,926784.348,50557.871999999996
90004,202201,1,904,748787.6159999999,10083.6
90005,202201,2,900,1013943.9959999999,70224.828
90006,202201,2,901,407076.50399999996,128063.76
90007,202201,2,902,330007.152,19993.2
90008,202201,2,903,460776.73199999996,33650.28
90009,202201,2,904,47858.28,7703.388000000001
90010,202201,3,900,788166.9600000001,107174.91600000001
90011,202201,3,901,569695.356,37559.64
90012,202201,3,902,750098.2919999999,41341.428
90013,202201,3,903,632628.3599999999,80807.46
90014,202201,3,904,706971.0,49780.007999999994
90015,202201,4,900,623310.012,224649.21
90016,202201,4,901,1075716.528,252471.59999999998
90017,202201,4,902,259281.23999999996,28875.792000000005
90018,202201,4,903,1297805.532,140278.08
90019,202201,4,904,870939.06,89018.18999999999
90020,202201,5,900,852774.012,105109.176
90021,202201,5,901,839434.356,124755.59999999999
90022,202201,5,902,474853.848,33877.32
90023,202201,5,903,421462.284,22157.592
90024,202201,5,904,577713.336,45316.86
90025,202201,6,900,468541.86,86331.75
90026,202201,6,901,1498800.0,195927.456
90027,202201,6,902,553259.532,63640.799999999996
90028,202201,6,903,705175.0199999999,126254.67
90029,202201,6,904,1596264.024,53288.60400000001
90030,202201,7,900,114895.37999999999,40079.304
90031,202201,7,901,267188.592,25567.488
90032,202201,7,902,818311.836,59696.76
90033,202201,7,903,58445.832,20545.2
90034,202201,7,904,837019.188,177374.544
90035,202201,8,900,688979.544,122829.324
90036,202201,8,901,450673.76399999997,22645.884
90037,202201,8,902,273395.952,18259.920000000002
90038,202201,8,903,542543.904,82581.12000000001
90039,202201,8,904,779095.0199999999,112194.252
90040,202201,9,901,1025203.2239999999,107252.27999999998
90041,202201,9,902,829679.172,36837.18
90042,202201,9,903,525829.62,125345.7
90043,202201,9,904,1289005.0559999999,40699.049999999996
90044,202201,10,900,263493.348,14915.28
90045,202201,10,901,519331.23600000003,41795.04
90046,202201,10,902,343182.11999999994,21137.280000000002
90047,202201,10,903,774956.928,243486.72
90048,202201,10,904,175858.14,10801.44
90049,202201,11,900,196020.55200000003,63893.520000000004
90050,202201,11,901,750554.6519999999,112676.09999999999
90051,202201,11,902,968928.492,90898.80000000002
90052,202201,11,903,1255365.7319999998,103918.452
90053,202201,11,904,494584.78799999994,54600.95999999999
90054,202201,12,900,404694.372,75570.708
90055,202201,12,901,341977.60799999995,144387.0
90056,202201,12,902,997102.4039999999,81074.4
90057,202201,12,903,1199319.948,96159.9
90058,202201,12,904,515361.63599999994,8690.688
90059,202201,13,900,1149722.46,198237.42
90060,202201,13,901,777363.6,111662.778
90061,202201,13,902,85046.772,8248.091999999999
90062,202201,13,903,703075.7279999999,55714.799999999996
90063,202201,13,904,802250.232,38390.1
90064,202201,14,900,543644.076,102948.474
90065,202201,14,901,674608.848,98300.81999999999
90066,202201,14,902,879041.208,54445.26
90067,202201,14,903,1382084.448,128992.91999999998
90068,202201,14,904,220957.224,196200.3
90069,202201,15,900,244084.36800000002,19965.6
90070,202201,15,901,490170.204,109907.82
90071,202201,15,902,169226.004,12419.759999999998
90072,202201,15,903,955183.656,83346.18000000001
90073,202201,15,904,895073.1,236102.64
90074,202201,16,901,969569.76,181737.216
90075,202201,16,902,577193.928,40671.864
90076,202201,16,903,457128.78,84250.884
90077,202201,16,904,1113113.4479999999,55560.719999999994
90078,202201,17,900,1309224.816,53191.842000000004
90079,202201,17,901,443176.90799999994,28890.120000000003
90080,202201,17,902,653158.4759999999,47298.719999999994
90081,202201,17,903,516862.572,29821.301999999996
90082,202201,17,904,140516.172,5282.25
90083,202201,18,900,235209.792,23855.460000000003
90084,202201,18,901,455014.692,117146.52
90085,202201,18,902,106440.972,17965.728
90086,202201,18,903,2968827.768,222118.70399999997
90087,202201,18,904,694576.2,131123.346
90088,202201,19,900,956678.28,103162.06199999999
90089,202201,19,901,881068.08,113895.606
90090,202201,19,902,895994.6519999999,93417.12000000001
90091,202201,19,903,243525.084,10784.988000000001
90092,202201,19,904,405080.184,93351.88799999999
90093,202201,20,900,422521.044,86771.592
90094,202201,20,901,17608.212,14798.4
90095,202201,20,902,856934.088,33049.799999999996
90096,202201,20,903,633823.32,62947.871999999996
90097,202201,20,904,1133720.22,200574.32400000002
90098,202201,21,900,2429371.224,152077.032
90099,202201,21,901,1216953.12,85061.52
90100,202201,21,902,104070.156,3885.6
90101,202201,21,903,713141.7,95596.34999999999
90102,202201,21,904,792715.668,180959.28
90103,202201,22,900,792052.392,141327.468
90104,202201,22,901,565580.772,27830.214
90105,202201,22,902,823343.988,30637.859999999997
