forecast_id,market_id,geo_id,year,forecast_value_usd_m,cagr,scenario,forecast_generated_date
1,MKT-101,GEO-GLO,2025,750000.00,18.5,Base Case,2024-01-15
2,MKT-101,GEO-GLO,2030,1891000.00,13.8,Base Case,2024-01-15
3,MKT-101,GEO-US,2025,140000.00,22.0,Base Case,2024-01-15
4,MKT-101,GEO-US,2030,233700.00,18.5,Base Case,2024-01-15
5,MKT-101,GEO-CN,2025,400000.00,16.5,Base Case,2024-01-15
6,MKT-101,GEO-CN,2030,850000.00,12.5,Base Case,2024-01-15
7,MKT-101,GEO-IN,2030,23520.00,28.5,Optimistic,2024-06-01
8,MKT-101,GEO-IN,2030,18000.00,22.5,Base Case,2024-06-01
9,MKT-103,GEO-GLO,2030,125390.00,25.5,Base Case,2024-05-24
10,MKT-103,GEO-US,2030,35000.00,28.0,Base Case,2024-05-24
11,MKT-102,GEO-GLO,2030,212160.00,14.0,Base Case,2024-01-15
12,MKT-102,GEO-EU,2030,65000.00,15.5,Base Case,2024-01-15
13,MKT-104,GEO-GLO,2030,222020.00,8.69,Base Case,2024-02-01
14,MKT-101,GEO-EU,2030,450000.00,12.5,Pessimistic,2024-01-15
15,MKT-101,GEO-GLO,2030,2500000.00,21.5,Optimistic,2024-01-15
16,MKT-101,GEO-TH,2030,9500.00,25.0,Base Case,2024-03-10
17,MKT-101,GEO-ID,2030,8200.00,27.5,Base Case,2024-03-10
18,MKT-101,GEO-VN,2030,6500.00,30.0,Optimistic,2024-03-10
19,MKT-106,GEO-GLO,2030,22000.00,18.0,Base Case,2024-04-12
20,MKT-107,GEO-GLO,2030,14000.00,16.5,Base Case,2024-04-12
21,MKT-108,GEO-GLO,2030,28000.00,20.0,Base Case,2024-04-12
22,MKT-109,GEO-GLO,2030,8500.00,15.0,Base Case,2024-04-12
23,MKT-103,GEO-CN,2030,65000.00,22.0,Base Case,2024-05-24
24,MKT-101,GEO-SA,2030,5200.00,35.0,Optimistic,2024-06-20
25,MKT-101,GEO-AE,2030,4100.00,25.0,Base Case,2024-06-20
26,MKT-102,GEO-KR,2030,25000.00,12.0,Base Case,2024-01-15
27,MKT-101,GEO-JP,2030,42000.00,14.5,Base Case,2024-02-10
28,MKT-101,GEO-BR,2030,11000.00,28.0,Optimistic,2024-07-05
29,MKT-110,GEO-GLO,2030,15000.00,25.0,Pessimistic,2024-08-01
30,MKT-110,GEO-JP,2030,6000.00,22.0,Base Case,2024-08-01
31,MKT-103,GEO-IN,2030,4247.00,25.25,Base Case,2024-09-15
32,MKT-104,GEO-US,2030,51300.00,9.0,Base Case,2024-02-01
33,MKT-101,GEO-TR,2030,6800.00,24.0,Base Case,2024-05-01
34,MKT-101,GEO-MX,2030,7500.00,22.0,Base Case,2024-05-01
35,MKT-102,GEO-CN,2030,95000.00,15.0,Base Case,2024-01-15
