transaction_id,period_id,geo_id,sku_id,units_sold,volume_sold_std,value_sold_local,value_sold_usd,is_promotion,distribution_points
100000,202310,8,5000,14400,3600.0,38869.82,52526.79,False,94
100001,202206,14,5000,14533,3633.25,40.25,53671.92,True,67
100002,202307,22,5000,31813,7953.25,11808.14,123001.43,True,99
100003,202301,12,5000,39341,9835.25,1894.61,157884.09,True,62
100004,202211,9,5000,31801,7950.25,88107.95,135550.7,True,79
100005,202301,13,5000,14348,3587.0,6613.63,47240.2,False,91
100006,202303,23,5000,8575,2143.75,41433.39,36029.03,False,51
100007,202208,19,5000,37070,9267.5,44490.59,164779.96,False,55
100008,202208,15,5000,18551,4637.75,5.22,81562.2,False,63
100009,202208,22,5000,33442,8360.5,11927.94,124249.35,True,70
100010,202301,23,5000,9680,2420.0,36513.15,31750.57,True,99
100011,202305,8,5000,22829,5707.25,64938.95,87755.34,True,90
100012,202211,12,5000,37579,9394.75,1364.21,113684.21,False,86
100013,202405,6,5000,36484,9121.0,162608.01,149181.66,True,78
100014,202309,8,5000,22896,5724.0,67580.5,91325.0,True,82
100015,202308,5,5000,40612,10153.0,166252.07,152524.84,True,97
100016,202404,19,5000,10945,2736.25,11881.36,44005.03,False,71
100017,202406,20,5000,45572,11393.0,5204.43,157710.11,False,69
100018,202302,15,5000,12625,3156.25,3.75,58666.95,False,67
100019,202304,4,5000,37263,9315.75,1191.59,175234.08,True,83
100020,202204,8,5000,16137,4034.25,48922.22,66111.11,True,74
100021,202409,2,5000,41559,10389.75,213599.99,168188.96,True,64
100022,202207,6,5000,27309,6827.25,93324.6,85618.9,True,88
100023,202408,9,5000,38152,9538.0,94970.03,146107.73,True,76
100024,202404,4,5000,26857,6714.25,687.12,101046.45,False,61
100025,202411,13,5000,7263,1815.75,4288.74,30633.89,False,79
100026,202404,17,5000,39764,9941.0,189.07,171884.06,True,64
100027,202401,20,5000,1577,394.25,180.42,5467.34,True,93
100028,202409,21,5000,47292,11823.0,204299.87,187431.07,True,82
100029,202406,1,5000,23577,5894.25,86389.93,86389.93,False,52
100030,202208,14,5000,6489,1622.25,17.3,23071.12,False,90
100031,202205,5,5000,42385,10596.25,210377.94,193007.28,True,61
100032,202404,20,5000,40887,10221.75,5144.43,155891.76,False,75
100033,202212,19,5000,34774,8693.5,34156.19,126504.41,True,94
100034,202405,2,5000,40844,10211.0,178541.71,140584.03,True,98
100035,202403,16,5000,33812,8453.0,5473.99,103282.76,False,71
100036,202301,24,5000,37775,9443.75,4964.13,177290.45,False,75
100037,202309,5,5000,38778,9694.5,164395.95,150821.98,True,84
100038,202405,16,5000,42373,10593.25,8486.6,160124.54,True,55
100039,202412,16,5000,18605,4651.25,3716.33,70119.36,False,99
100040,202202,22,5000,20835,5208.75,8049.97,83853.84,True,71
100041,202403,11,5000,40911,10227.75,9740.88,167946.25,True,60
100042,202204,5,5000,15176,3794.0,80257.23,73630.49,False,88
100043,202302,22,5000,28183,7045.75,8484.55,88380.77,False,72
100044,202408,6,5000,16853,4213.25,80163.88,73544.84,False,55
100045,202307,15,5000,30117,7529.25,6.57,102619.53,False,54
100046,202402,23,5000,26419,6604.75,134169.4,116669.05,True,71
100047,202412,9,5000,7745,1936.25,19646.57,30225.5,True,65
100048,202207,16,5000,40351,10087.75,8621.32,162666.39,False,65
100049,202409,20,5000,11671,2917.75,1716.86,52026.0,False,62
100050,202409,8,5000,44558,11139.5,122120.48,165027.68,False,65
100051,202211,18,5000,33659,8414.75,31534.37,116793.98,False,86
100052,202312,21,5000,42923,10730.75,158659.12,145558.83,False,88
